#,District,2020 presidential margin,2022 U.S. House margin,Difference,Notes
119,MI-11,Biden +19.9,D+22.6,D+2.7,
119,IN-09,Trump +27.3,R+30.0,R+2.7,
119,MO-07,Trump +41.4,R+44.1,R+2.7,
119,MO-08,Trump +51.4,R+54.1,R+2.7,
119,NC-07,Trump +12.7,R+15.4,R+2.7,
119,NV-03,Biden +6.7,D+4.0,R+2.7,
119,OH-03,Biden +43.7,D+41.0,R+2.7,
119,OH-04,Trump +35.7,R+38.4,R+2.7,
120,OH-13,Biden +2.8,D+5.4,D+2.6,
120,CA-08,Biden +54.0,D+51.4,R+2.6,
120,HI-02,Biden +29.5,D+26.9,R+2.6,
121,NC-01,Biden +7.3,D+4.8,R+2.5,
121,WA-02,Biden +22.9,D+20.4,R+2.5,
122,CA-32,Biden +40.8,D+38.4,R+2.4,
122,IL-11,Biden +15.3,D+12.9,R+2.4,
122,MI-13,Biden +49.6,D+47.2,R+2.4,
122,NY-06,Biden +30.3,D+27.9,R+2.4,
123,WI-02,Biden +41.8,D+44.1,D+2.3,
123,AZ-01,Biden +1.5,R+0.8,R+2.3,
123,MN-01,Trump +9.2,R+11.5,R+2.3,
123,MN-04,Biden +37.6,D+35.3,R+2.3,
124,CA-19,Biden +39.6,D+37.4,R+2.2,
124,MD-02,Biden +20.8,D+18.6,R+2.2,
124,NJ-03,Biden +14.0,D+11.8,R+2.2,
124,TN-05,Trump +11.3,R+13.5,R+2.2,
124,TX-32,Biden +33.0,D+30.8,R+2.2,
124,VA-07,Biden +6.8,D+4.6,R+2.2,
125,CO-02,Biden +39.9,D+42.0,D+2.1,
125,NH-01,Biden +6.0,D+8.1,D+2.1,
125,IL-06,Biden +10.9,D+8.8,R+2.1,
125,PA-05,Biden +32.3,D+30.2,R+2.1,
125,PA-09,Trump +36.5,R+38.6,R+2.1,
125,TX-07,Biden +29.7,D+27.6,R+2.1,
126,IL-13,Biden +11.2,D+13.2,D+2.0,
126,NJ-05,Biden +12.4,D+10.4,R+2.0,
126,OH-11,Biden +57.6,D+55.6,R+2.0,
127,AZ-04,Biden +10.3,D+12.2,D+1.9,
127,IL-09,Biden +41.5,D+43.4,D+1.9,
127,PA-16,Trump +20.7,R+18.8,D+1.9,
127,MN-03,Biden +21,D+19.1,R+1.9,
128,NJ-11,Biden +16.9,D+18.7,D+1.8,
128,PA-06,Biden +14.8,D+16.6,D+1.8,
128,CA-28,Biden +34.2,D+32.4,R+1.8,
128,MN-02,Biden +7.1,D+5.3,R+1.8,
128,OK-04,Trump +31.6,R+33.4,R+1.8,
128,WA-09,Biden +45.2,D+43.4,R+1.8,
129,KY-03,Biden +22.3,D+24.0,D+1.7,
129,LA-02,Biden +52.5,D+54.2,D+1.7,
129,MA-02,Biden +30.8,D+32.5,D+1.7,
129,MO-05,Biden +26.3,D+24.6,R+1.7,
129,PA-11,Trump +21.3,R+23.0,R+1.7,
130,AZ-06,Biden +0.1,R+1.5,R+1.6,
130,IL-08,Biden +15.4,D+13.8,R+1.6,
131,CO-01,Biden +61.3,D+62.8,D+1.5,
131,MA-01,Biden +21.6,D+23.1,D+1.5,
131,NC-13,Biden +1.7,D+3.2,D+1.5,
131,OH-07,Trump +9.2,R+10.7,R+1.5,
132,PA-07,Biden +0.6,D+2.0,D+1.4,
132,GA-05,Biden +66.4,D+65.0,R+1.4,
132,IN-08,Trump +32.8,R+34.2,R+1.4,
132,KY-04,Trump +32.6,R+34.0,R+1.4,
133,MI-09,Trump +29.4,R+30.7,R+1.3,
133,NY-07,Biden +62.6,D+61.3,R+1.3,
134,IL-05,Biden +39.6,D+40.8,D+1.2,
134,FL-13,Trump +6.8,R+8.0,R+1.2,
134,MI-02,Trump +28.2,R+29.4,R+1.2,
134,NC-04,Biden +35.0,D+33.8,R+1.2,
135,KS-02,Trump +16.3,R+15.3,D+1.0,
135,PA-17,Biden +5.8,D+6.8,D+1.0,
135,WI-03,Trump +4.7,R+3.7,D+1.0,
135,NC-14,Biden +16.4,D+15.4,R+1.0,
135,CA-04,Biden +36.6,D+35.6,R+1.0,
136,MD-07,Biden +63.5,D+64.4,D+0.9,
136,RI-01,Biden +29.1,D+28.2,R+0.9,
137,CO-07,Biden +14.2,D+15.0,D+0.8,
137,NC-11,Trump +10.1,R+9.3,D+0.8,
137,VT-AL,Biden +35.6,D+34.8,R+0.8,
138,CA-02,Biden +49.5,D+48.8,R+0.7,
138,GA-04,Biden +57.7,D+57.0,R+0.7,
139,NC-02,Biden +28.8,D+29.4,D+0.6,
139,CO-06,Biden +23.8,D+23.2,R+0.6,
140,MI-10,Trump +1.0,R+0.5,D+0.5,
140,CA-07,Biden +37.1,D+36.6,R+0.5,
140,CA-25,Biden +15.3,D+14.8,R+0.5,
140,MD-04,Biden +80.9,D+80.4,R+0.5,
140,MD-08,Biden +62.6,D+62.1,R+0.5,
141,WI-04,Biden +53.1,D+52.7,R+0.4,
142,CA-12,Biden +80.7,D+81.0,D+0.3,
142,GA-02,Biden +10.3,D+10.0,R+0.3,
142,MA-03,Biden +27.4,D+27.1,R+0.3,
142,MD-06,Biden +9.8,D+9.5,R+0.3,
143,MA-06,Biden +27.6,D+27.8,D+0.2,
143,MA-09,Biden +18.2,D+18.4,D+0.2,
143,WA-08,Biden +6.7,D+6.9,D+0.2,
143,IA-03,Trump +0.4,R+0.6,R+0.2,
144,IL-10,Biden +25.9,D+26.0,D+0.1,
144,AZ-02,Trump +7.9,R+7.8,R+0.1,
144,WY-AL,Trump +43.7,R+43.8,R+0.1,
145,TX-09,Biden +53.4,D+53.4,D+0,
145,TX-35,Biden +45.2,D+45.2,D+0,
,WI-08,Trump +15.5,R+57.1,R+41.6,Republican vs. minor party candidate(s).
,AL-01,Trump +28.3,R+67.9,R+39.6,Republican vs. minor party candidate(s).
,AL-06,Trump +30.0,R+68.6,R+38.6,Republican vs. minor party candidate(s).
,LA-06,Trump +30.4,R+67.4,R+37.0,"Multiple Republicans, one minor party candidate, and no Democrats ran in this open primary."
,SD-AL,Trump +26.2,R+54.8,R+28.6,Republican vs. minor party candidate(s).
,FL-06,Trump +23.7,R+50.6,R+26.9,Republican vs. minor party candidate(s).
,FL-18,Trump +22.8,R+49.5,R+26.7,Republican vs. minor party candidate(s).
,LA-05,Trump +29.7,R+51.9,R+22.2,Multiple Republicans and Democrats ran in this open primary.
,TX-26,Trump +18.6,R+38.6,R+20.0,Republican vs. minor party candidate(s).
,CA-10,Biden +39.3,D+57.8,D+18.5,Democrat vs. minor party candidate(s).
,LA-03,Trump +37.7,R+53.4,R+15.7,Multiple Republicans and Democrats ran in this open primary.
,TX-19,Trump +46.2,R+60.6,R+14.4,Republican vs. minor party candidate(s).
,NY-09,Biden +51.5,D+62.9,D+11.4,Democrat vs. minor party candidate(s).
,PA-03,Biden +80.9,D+90.2,D+9.3,Democrat vs. minor party candidate(s).
,ND-AL,Trump +33.6,R+24.6,D+9.0,Republican vs. minor party candidate(s).
,MT-02,Trump +26.9,R+34.6,R+7.7,Republican vs. minor party candidate(s).
,AZ-08,Trump +13.6,-,-,Uncontested.
,AZ-09,Trump +25.8,-,-,Uncontested.
,CA-15,Biden +57.3,-,-,Democrat vs. Democrat.
,CA-16,Biden +53.0,-,-,Democrat vs. Democrat.
,CA-29,Biden +51.3,-,-,Democrat vs. Democrat.
,CA-30,Biden +46.2,-,-,Democrat vs. Democrat.
,CA-34,Biden +64.3,-,-,Democrat vs. Democrat.
,CA-37,Biden +73.3,-,-,Democrat vs. Democrat.
,FL-05,Trump +15.8,-,-,Uncontested.
,IL-07,Biden +72.8,-,-,Uncontested.
,LA-04,Trump +24.1,-,-,Uncontested.
,MA-04,Biden +28.5,-,-,Uncontested.
,NY-13,Biden +77.0,-,-,Uncontested.
,PA-13,Trump +45.2,-,-,Uncontested.
,PA-14,Trump +31.5,-,-,Uncontested.
,SC-03,Trump +37.4,-,-,Uncontested.
,SC-04,Trump +18.6,-,-,Uncontested.
,TX-06,Trump +23.9,-,-,Uncontested.
,TX-11,Trump +40.4,-,-,Uncontested.
,TX-25,Trump +31.1,-,-,Uncontested.
,TX-31,Trump +20.2,-,-,Uncontested.
,WI-06,Trump +15.6,-,-,Uncontested.
