"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"144","H0IL01194",2022,"C00719187",239004
"145","H0IL01210",2022,"C00704973",236947
"146","H0IL03125",2022,"C00736645",238273
"147","H0IL03133",2022,"C00736348",245332
"148","H0IL05096",2022,"C00457556",235030
"149","H0IL07167",2022,"C00781104",241009
"150","H0IL07167",2022,"C00706259",236298
"151","H0IL10369",2022,"C00715912",237708
"152","H0IL10393",2022,"C00750877",239207
"153","H0IL11052",2022,"C00458877",235034
"154","H0IL11128",2022,"C00721217",237971
"155","H0IL15129",2022,"C00723916",237432
"156","H0IL17083",2022,"C00716498",237770
"157","H0IL17083",2022,"C00702613",237829
"158","H0IL17083",2022,"C00775270",245579
"159","H0IN01150",2022,"C00727529",237380
"160","H0IN02190",2022,"C00468579",235118
"161","H0IN05326",2022,"C00737767",238834
"162","H0IN07249",2022,"C00735753",238610
"163","H0IN08114",2022,"C00468256",235083
"164","H0IN08114",2022,"C00679605",235971
"165","H0IN09161",2022,"C00730671",237900
"166","H0KS01123",2022,"C00460659",235105
"167","H0KS01180",2022,"C00718973",238260
"168","H0KS02188",2022,"C00718346",237727
"169","H0KS03236",2022,"C00702621",238532
"170","H0KS03236",2022,"C00717876",238956
"171","H0KS03236",2022,"C00775288",245756
"172","H0KS03269",2022,"C00752311",237722
"173","H0KY03259",2022,"C00737635",238592
"174","H0KY03259",2022,"C00799932",243422
"175","H0KY05015",2022,"C00116632",234754
"176","H0KY06104",2022,"C00467571",235068
"177","H0LA01087",2022,"C00568162",235330
"178","H0LA01087",2022,"C00394957",234731
"179","H0LA05088",2022,"C00704080",236826
"180","H0LA05088",2022,"C00703439",238098
"181","H0MA04192",2022,"C00721449",238441
"182","H0MA04259",2022,"C00744888",237319
"183","H0MA05116",2022,"C00701995",237084
"184","H0MA07054",2022,"C00744201",237823
"185","H0MA10082",2022,"C00479063",235164
"186","H0MD01224",2022,"C00734830",237937
"187","H0MD01232",2022,"C00715177",238552
"188","H0MD01232",2022,"C00766022",239295
"189","H0MD04160",2022,"C00737049",237228
"190","H0MD05225",2022,"C00729319",237651
"191","H0MD05241",2022,"C00733063",238544
"192","H0MD06231",2022,"C00818906",245777
"193","H0MD06231",2022,"C00691931",236963
"194","H0MD08203",2022,"C00734426",237376
"195","H0ME01127",2022,"C00797373",242689
"196","H0ME01127",2022,"C00748327",237239
"197","H0MI02094",2022,"C00580043",236899
"198","H0MI02094",2022,"C00459297",235039
"199","H0MI03266",2022,"C00704270",236842
"200","H0MI03308",2022,"C00710962",238672
"201","H0MI03316",2022,"C00711317",239092
"202","H0MI04108",2022,"C00705301",236895
"203","H0MI06202",2022,"C00759209",237196
"204","H0MI08133",2022,"C00722587",237571
"205","H0MI08141",2022,"C00775304",245696
"206","H0MI08141",2022,"C00702647",238342
"207","H0MI08141",2022,"C00726687",237976
"208","H0MI09206",2022,"C00753533",237584
"209","H0MI10287",2022,"C00726042",237694
"210","H0MI12150",2022,"C00711036",238674
"211","H0MI13505",2022,"C00796839",242649
"212","H0MN01045",2022,"C00550707",235623
"213","H0MN02118",2022,"C00815993",244961
"214","H0MN02134",2022,"C00732925",238284
"215","H0MN02134",2022,"C00775320",245721
