"","DRA.Office","ID","State","Dem.2020.Pres.%","Rep.2020.Pres.%","2020.White.%","Dem-Rep.2020"
"1","Representative","At-Large","AK",0.430065246148296,0.531228937631618,0.575079323307758,-0.101163691483322
"2","Representative","At-Large","DE",0.587821670204956,0.398013928295074,0.585738846888928,0.189807741909883
"3","Representative","At-Large","MT",0.405516533032934,0.569216751706315,0.831301620973506,-0.163700218673381
"4","Representative","At-Large","ND",0.317774512187037,0.65120268269507,0.816538184095886,-0.333428170508033
"5","Representative","At-Large","SD",0.356052521361353,0.617693896722502,0.795770001590225,-0.26164137536115
"6","Representative","At-Large","VT",0.66086416930664,0.306737646559326,0.891341161322828,0.354126522747314
"7","Representative","At-Large","WY",0.265535743320145,0.699362274854118,0.814185985635805,-0.433826531533973
"8","Representative","1","AL",0.352411650082792,0.634643474654575,0.634309248015337,-0.282231824571782
"9","Representative","2","AL",0.347080345473997,0.64078626837553,0.593715125634792,-0.293705922901532
"10","Representative","3","AL",0.323725914516022,0.663986039317968,0.659427881976276,-0.340260124801945
"11","Representative","4","AL",0.185735389923199,0.802369788560295,0.799251554153652,-0.616634398637096
"12","Representative","5","AL",0.354881510026075,0.624780787779496,0.684153623664933,-0.269899277753421
"13","Representative","6","AL",0.342273991967151,0.640905827181547,0.684699771788106,-0.298631835214396
"14","Representative","7","AL",0.65488557226098,0.334368675597513,0.362879203738328,0.320516896663467
"15","Representative","1","AR",0.28074702223214,0.689810036542163,0.732924124495521,-0.409063014310023
"16","Representative","2","AR",0.42113133217832,0.552376434132734,0.66272269532755,-0.131245101954414
"17","Representative","3","AR",0.367927293072327,0.602096751633508,0.676866887319624,-0.234169458561181
"18","Representative","4","AR",0.310015988654076,0.662482188371766,0.668384487296272,-0.35246619971769
"19","Representative","1","AZ",0.501017907389878,0.486261491979927,0.698901726756866,0.0147564154099508
"20","Representative","2","AZ",0.452884563235562,0.531685574965117,0.552800612122646,-0.0788010117295547
"21","Representative","3","AZ",0.745059426300931,0.238816179289673,0.195664047358963,0.506243247011258
"22","Representative","4","AZ",0.541626052162487,0.438768586184427,0.551566741462175,0.10285746597806
"23","Representative","5","AZ",0.410393629865277,0.57405233705755,0.670568780738272,-0.163658707192273
"24","Representative","6","AZ",0.492777751024461,0.492076049742824,0.631386930208618,0.000701701281636713
"25","Representative","7","AZ",0.656406438441999,0.32875738608418,0.284554329099396,0.32764905235782
"26","Representative","8","AZ",0.425351132324061,0.560740298804286,0.642959439221757,-0.135389166480225
"27","Representative","9","AZ",0.364020374859998,0.621557064192917,0.574633909379672,-0.257536689332919
"28","Representative","1","CA",0.392715499565545,0.58267113643598,0.61508701532087,-0.189955636870435
"29","Representative","2","CA",0.735215270212665,0.240439539620139,0.647503454184068,0.494775730592526
"30","Representative","3","CA",0.478769959673774,0.496609341941084,0.690523521180179,-0.0178393822673104
"31","Representative","4","CA",0.670602662553953,0.304962032366203,0.513029692721696,0.36564063018775
"32","Representative","5","CA",0.427239299309987,0.550583492573504,0.592070691886381,-0.123344193263517
"33","Representative","6","CA",0.578625051758592,0.394388468485769,0.471962258665574,0.184236583272823
"34","Representative","7","CA",0.674385853264745,0.302671663514174,0.314004379253944,0.37171418975057
"35","Representative","8","CA",0.759541806571671,0.219540126155675,0.239595329589512,0.540001680415996
"36","Representative","9","CA",0.552351756153105,0.426252080231234,0.287381451362087,0.126099675921871
"37","Representative","10","CA",0.686328394084627,0.292663921011105,0.476591087856092,0.393664473073522
"38","Representative","11","CA",0.862858449112291,0.117314774834269,0.432195017861094,0.745543674278022
"39","Representative","12","CA",0.893165389423338,0.0860862003369748,0.328706950647817,0.807079189086363
"40","Representative","13","CA",0.54283264478915,0.434480040879604,0.22231769938235,0.108352603909545
"41","Representative","14","CA",0.716743510163076,0.26215293350795,0.255749154613545,0.454590576655125
"42","Representative","15","CA",0.777273167314909,0.203800618440459,0.285335244474072,0.57347254887445
"43","Representative","16","CA",0.754304816053862,0.224002261697215,0.434777280077172,0.530302554356647
"44","Representative","17","CA",0.727188415013845,0.253000914185778,0.208694529321933,0.474187500828067
"45","Representative","18","CA",0.709408847709774,0.268943531999776,0.183959193243935,0.440465315709998
"46","Representative","19","CA",0.686507994238911,0.29059070563646,0.4825013677501,0.395917288602451
"47","Representative","20","CA",0.364298657170583,0.613224479514051,0.49381562707183,-0.248925822343468
"48","Representative","21","CA",0.59107578923241,0.388348187917096,0.17883907511027,0.202727601315314
"49","Representative","22","CA",0.552428349869341,0.423500605494062,0.157667590927162,0.128927744375279
"50","Representative","23","CA",0.438856177719393,0.53712261605949,0.397122875133776,-0.0982664383400971
"51","Representative","24","CA",0.63351413496046,0.342896394602847,0.497259813607173,0.290617740357613
"52","Representative","25","CA",0.566757524005565,0.413679873025926,0.242943485494437,0.153077650979638
"53","Representative","26","CA",0.589455796695455,0.389692590674123,0.423853131202898,0.199763206021333
"54","Representative","27","CA",0.550877521905091,0.427248146379618,0.3376162646157,0.123629375525473
"55","Representative","28","CA",0.659576594388444,0.320803487505267,0.272486412953842,0.338773106883177
"56","Representative","29","CA",0.745446872294136,0.232371410068906,0.213632300967323,0.51307546222523
"57","Representative","30","CA",0.722056704520609,0.259780252201561,0.556472154034272,0.462276452319048
"58","Representative","31","CA",0.644801198345762,0.334458953401283,0.149930935396204,0.310342244944479
"59","Representative","32","CA",0.694593331895799,0.287273203339186,0.524552894416884,0.407320128556613
"60","Representative","33","CA",0.615363520687991,0.361944773521712,0.175048664981551,0.253418747166279
