"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index","full_district","Special","Winner"
"207","Sara Jacobs",1,"California","CA","Representative","51",0,1,0,0,0,0,0,1,0,512079,"223","CA-51",0,1
"208","Juan Vargas",1,"California","CA","Representative","52",1,0,0,0,1,0,0,1,0,99000,"224","CA-52",0,1
"209","Jennifer Lewis",1,"Virginia","VA","Representative","6",0,1,0,0,0,0,0,0,0,74584,"225","VA-6",0,0
"210","Chellie Pingree",1,"Maine","ME","Representative","1",0,1,0,0,0,0,0,1,0,116562,"226","ME-1",0,1
"211","Jared Golden",1,"Maine","ME","Representative","2",1,1,0,0,0,0,0,1,0,2180885,"227","ME-2",0,1
"212","Catherine Cortez Masto",1,"Nevada","NV","Senator","0",0,1,0,0,1,0,0,1,0,22810659,"228","NV-0",0,1
"213","Dina Titus",1,"Nevada","NV","Representative","1",0,1,0,0,0,0,0,1,0,963115,"229","NV-1",0,1
"214","Elizabeth Mercedes Krause",1,"Nevada","NV","Representative","2",0,0,0,0,0,0,1,0,0,26170,"230","NV-2",0,0
"215","Susie Lee",1,"Nevada","NV","Representative","3",0,1,0,0,0,0,0,1,0,1937755,"231","NV-3",0,1
"216","Steven A. Horsford",1,"Nevada","NV","Representative","4",1,0,1,0,0,0,0,1,0,1154458,"232","NV-4",0,1
"217","Krystle Matthews",1,"South Carolina","SC","Senator","0",0,0,1,0,0,0,0,0,0,27747,"233","SC-0",0,0
"218","Annie Andrews",1,"South Carolina","SC","Representative","1",0,1,0,0,0,0,0,0,0,884065,"234","SC-1",0,0
"219","Judd Larkins",1,"South Carolina","SC","Representative","2",1,1,0,0,0,0,0,0,0,35499,"235","SC-2",0,0
"220","Evangeline Hundley",1,"South Carolina","SC","Representative","5",0,0,1,0,0,0,0,0,0,0,"237","SC-5",0,0
"221","James E. ""Jim"" Clyburn",1,"South Carolina","SC","Representative","6",1,0,1,0,0,0,0,1,0,680567,"238","SC-6",0,1
"222","Daryl W. Scott",1,"South Carolina","SC","Representative","7",1,0,1,0,0,0,0,0,0,0,"239","SC-7",0,0
"223","Katrina Christiansen",1,"North Dakota","ND","Senator","0",0,1,0,0,0,0,0,0,0,42645,"240","ND-0",0,0
"224","Mark Haugen",1,"North Dakota","ND","Representative","0",1,1,0,0,0,0,0,0,0,2050,"241","ND-0",0,0
"225","Herbert C. ""Herb"" Jones Jr.",1,"Virginia","VA","Representative","1",1,0,1,0,0,0,0,0,0,143691,"242","VA-1",0,0
"226","Elaine G. Luria",1,"Virginia","VA","Representative","2",0,1,0,0,0,0,0,1,0,3884074,"243","VA-2",0,0
"227","Robert C. ""Bobby"" Scott",1,"Virginia","VA","Representative","3",1,0,1,0,0,0,0,1,0,64665,"244","VA-3",0,1
"228","A. Donald McEachin",1,"Virginia","VA","Representative","4",1,0,1,0,0,0,0,1,0,160280,"245","VA-4",0,1
"229","Joshua M. Throneburg",1,"Virginia","VA","Representative","5",1,1,0,0,0,0,0,0,0,508170,"246","VA-5",0,0
"230","Abigail A. Spanberger",1,"Virginia","VA","Representative","7",0,1,0,0,0,0,0,1,0,2840533,"247","VA-7",0,1
"231","Donald S. Beyer Jr.",1,"Virginia","VA","Representative","8",1,1,0,0,0,0,0,1,0,388677,"248","VA-8",0,1
"232","Jennifer T. Wexton",1,"Virginia","VA","Representative","10",0,1,0,0,0,0,0,1,0,896044,"249","VA-10",0,1
"233","Gerald E. ""Gerry"" Connolly",1,"Virginia","VA","Representative","11",1,1,0,0,0,0,0,1,0,209940,"250","VA-11",0,1
"234","Michael Bennet",1,"Colorado","CO","Senator","0",1,0,0,0,0,0,0,1,0,6329604,"251","CO-0",0,1
"235","Diana DeGette",1,"Colorado","CO","Representative","1",0,1,0,0,0,0,0,1,0,160222,"252","CO-1",0,1
"236","Joe Neguse",1,"Colorado","CO","Representative","2",1,0,1,0,0,0,0,1,0,477312,"253","CO-2",0,1
"237","Adam Frisch",1,"Colorado","CO","Representative","3",1,1,0,0,0,0,0,0,0,1781585,"254","CO-3",0,0
"238","Ike McCorkle",1,"Colorado","CO","Representative","4",1,1,0,0,0,0,0,0,0,64705,"255","CO-4",0,0
"239","David Torres",1,"Colorado","CO","Representative","5",1,0,0,0,1,0,0,0,0,10250,"256","CO-5",0,0
"240","Jason Crow",1,"Colorado","CO","Representative","6",1,1,0,0,0,0,0,1,0,708437,"257","CO-6",0,1
"241","Brittany Pettersen",1,"Colorado","CO","Representative","7",0,1,0,0,0,0,0,0,0,1072791,"258","CO-7",0,1
"242","Yadira Caraveo",1,"Colorado","CO","Representative","8",0,0,0,0,1,0,0,0,0,1506138,"259","CO-8",0,1
"243","Tammy Duckworth",1,"Illinois","IL","Senator","0",0,1,0,1,0,0,0,1,0,2697011,"260","IL-0",0,1
"244","Jonathan L. Jackson",1,"Illinois","IL","Representative","1",1,0,1,0,0,0,0,0,0,120804,"261","IL-1",0,1
"245","Robin Kelly",1,"Illinois","IL","Representative","2",0,0,1,0,0,0,0,1,0,236740,"262","IL-2",0,1
"246","Delia Ramirez",1,"Illinois","IL","Representative","3",0,0,0,0,1,0,0,0,0,80770,"263","IL-3",0,1
"247","Jesus ""Chuy"" Garcia",1,"Illinois","IL","Representative","4",1,0,0,0,1,0,0,1,0,125770,"264","IL-4",0,1
"248","Mike Quigley",1,"Illinois","IL","Representative","5",1,1,0,0,0,0,0,1,0,144425,"265","IL-5",0,1
"249","Sean Casten",1,"Illinois","IL","Representative","6",1,1,0,0,0,0,0,1,0,1877777,"266","IL-6",0,1
"250","Raja Krishnamoorthi",1,"Illinois","IL","Representative","8",1,0,0,1,0,0,0,1,0,2611102,"268","IL-8",0,1
"251","Janice D. Schakowsky",1,"Illinois","IL","Representative","9",0,1,0,0,0,0,0,1,0,221542,"269","IL-9",0,1
"252","Brad Schneider",1,"Illinois","IL","Representative","10",1,1,0,0,0,0,0,1,0,952586,"270","IL-10",0,1
"253","Bill Foster",1,"Illinois","IL","Representative","11",1,1,0,0,0,0,0,1,0,952590,"271","IL-11",0,1
"254","Homer ""Chip"" Markel",1,"Illinois","IL","Representative","12",1,1,0,0,0,0,0,0,0,15854,"272","IL-12",0,0
"255","Nikki Budzinski",1,"Illinois","IL","Representative","13",0,1,0,0,0,0,0,0,0,1568153,"273","IL-13",0,1
"256","Lauren Underwood",1,"Illinois","IL","Representative","14",0,0,1,0,0,0,0,1,0,2108627,"274","IL-14",0,1
"257","Paul J. Lange",1,"Illinois","IL","Representative","15",1,1,0,0,0,0,0,0,0,13743,"275","IL-15",0,0
"258","Eric Sorensen",1,"Illinois","IL","Representative","17",1,1,0,0,0,0,0,0,0,1504470,"276","IL-17",0,1
"259","Charles E. Schumer",1,"New York","NY","Senator","0",1,1,0,0,0,0,0,1,0,9686598,"277","NY-0",0,1
"260","Madison Horn",1,"Oklahoma","OK","Senator","0",0,1,0,0,0,0,1,0,0,166160,"278","OK-0",0,0
"261","Kendra Horn",1,"Oklahoma","OK","Senator","0",0,1,0,0,0,0,0,0,0,914494,"281","OK-0",1,0
"262","Adam Martin",1,"Oklahoma","OK","Representative","1",1,0,1,0,0,0,0,0,0,13575,"282","OK-1",0,0
"263","Naomi Andrews",1,"Oklahoma","OK","Representative","2",0,1,0,0,0,0,0,0,0,75,"283","OK-2",0,0
"264","Jeremiah A. Ross",1,"Oklahoma","OK","Representative","3",1,1,0,0,0,0,0,0,0,0,"284","OK-3",0,0
"265","Mary Brannon",1,"Oklahoma","OK","Representative","4",0,1,0,0,0,0,0,0,0,0,"285","OK-4",0,0
"266","Joshua Harris-Till",1,"Oklahoma","OK","Representative","5",1,0,1,0,0,0,0,0,0,28411,"286","OK-5",0,0
"267","Rick Edwin Jones",1,"Utah","UT","Representative","1",1,1,0,0,0,0,0,0,0,0,"287","UT-1",0,0
"268","Nick Mitchell",1,"Utah","UT","Representative","2",1,0,1,0,0,0,0,0,0,12135,"288","UT-2",0,0
"269","Glenn J. Wright",1,"Utah","UT","Representative","3",1,1,0,0,0,0,0,0,0,3000,"289","UT-3",0,0
"270","Darlene McDonald",1,"Utah","UT","Representative","4",0,0,1,0,0,0,0,0,0,20495,"290","UT-4",0,0
"271","Chris Van Hollen",1,"Maryland","MD","Senator","0",1,1,0,0,0,0,0,1,0,1394269,"291","MD-0",0,1
"272","Heather R. Mizeur",1,"Maryland","MD","Representative","1",0,1,0,0,0,0,0,0,0,1051855,"292","MD-1",0,0
"273","C.A. Dutch Ruppersberger",1,"Maryland","MD","Representative","2",1,1,0,0,0,0,0,1,0,178695,"293","MD-2",0,1
"274","John Sarbanes",1,"Maryland","MD","Representative","3",1,1,0,0,0,0,0,1,0,34930,"294","MD-3",0,1
"275","Glenn F. Ivey",1,"Maryland","MD","Representative","4",1,0,1,0,0,0,0,0,0,448081,"295","MD-4",0,1
"276","Steny Hoyer",1,"Maryland","MD","Representative","5",1,1,0,0,0,0,0,1,0,674164,"296","MD-5",0,1
"277","David J. Trone",1,"Maryland","MD","Representative","6",1,1,0,0,0,0,0,1,0,309602,"297","MD-6",0,1
"278","Kweisi Mfume",1,"Maryland","MD","Representative","7",1,0,1,0,0,0,0,1,0,133881,"298","MD-7",0,1
"279","Jamie Raskin",1,"Maryland","MD","Representative","8",1,1,0,0,0,0,0,1,0,1030489,"299","MD-8",0,1
"280","Mark Kelly",1,"Arizona","AZ","Senator","0",1,1,0,0,0,0,0,1,0,29590633,"300","AZ-0",0,1
"281","Jevin D. Hodge",1,"Arizona","AZ","Representative","1",1,0,1,0,0,0,0,0,0,1141123,"301","AZ-1",0,0
"282","Tom O'Halleran",1,"Arizona","AZ","Representative","2",1,1,0,0,0,0,0,1,0,1234394,"302","AZ-2",0,0
"283","Ruben Gallego",1,"Arizona","AZ","Representative","3",1,0,0,0,1,0,0,1,0,366368,"303","AZ-3",0,1
"284","Greg Stanton",1,"Arizona","AZ","Representative","4",1,1,0,0,0,0,0,1,0,1180697,"304","AZ-4",0,1
"285","Javier Garcia Ramos",1,"Arizona","AZ","Representative","5",1,0,0,0,1,0,0,0,0,6149,"305","AZ-5",0,0
"286","Kirsten Engel",1,"Arizona","AZ","Representative","6",0,1,0,0,0,0,0,0,0,1128175,"306","AZ-6",0,0
"287","Raúl Grijalva",1,"Arizona","AZ","Representative","7",1,0,0,0,1,0,0,1,0,161900,"307","AZ-7",0,1
"288","Mark R. Holland",1,"Kansas","KS","Senator","0",1,1,0,0,0,0,0,0,0,392975,"308","KS-0",0,0
"289","James ""Jimmy"" Beard",1,"Kansas","KS","Representative","1",1,1,0,0,0,0,0,0,0,7620,"309","KS-1",0,0
"290","Patrick Schmidt",1,"Kansas","KS","Representative","2",1,1,0,0,0,0,0,0,0,558256,"310","KS-2",0,0
"291","Sharice Davids",1,"Kansas","KS","Representative","3",0,0,0,0,0,0,1,1,0,2744589,"311","KS-3",0,1
"292","Bob Hernandez",1,"Kansas","KS","Representative","4",1,0,0,0,1,0,0,0,0,16125,"312","KS-4",0,0
"293","Bob Lorinser",1,"Michigan","MI","Representative","1",1,1,0,0,0,0,0,0,0,162437,"313","MI-1",0,0
"294","Jerry Hilliard",1,"Michigan","MI","Representative","2",1,1,0,0,0,0,0,0,0,7303,"314","MI-2",0,0
"295","Hillary Scholten",1,"Michigan","MI","Representative","3",0,1,0,0,0,0,0,0,0,1603346,"315","MI-3",0,1
"296","Bart Goldberg",1,"Michigan","MI","Representative","5",1,1,0,0,0,0,0,0,0,101816,"316","MI-5",0,0
"297","Debbie Dingell",1,"Michigan","MI","Representative","6",0,1,0,0,0,0,0,1,0,284615,"317","MI-6",0,1
"298","Elissa Slotkin",1,"Michigan","MI","Representative","7",0,1,0,0,0,0,0,1,0,3355459,"318","MI-7",0,1
"299","Daniel T. Kildee",1,"Michigan","MI","Representative","8",1,1,0,0,0,0,0,1,0,1470416,"319","MI-8",0,1
"300","Brian Jaye",1,"Michigan","MI","Representative","9",1,1,0,0,0,0,0,0,0,19165,"320","MI-9",0,0
"301","Carl J. Marlinga",1,"Michigan","MI","Representative","10",1,1,0,0,0,0,0,0,0,515862,"321","MI-10",0,0
"302","Haley Stevens",1,"Michigan","MI","Representative","11",0,1,0,0,0,0,0,1,0,1207694,"322","MI-11",0,1
"303","Rashida Tlaib",1,"Michigan","MI","Representative","12",0,0,0,0,0,1,0,1,0,785175,"323","MI-12",0,1
"304","Shri Thanedar",1,"Michigan","MI","Representative","13",1,0,0,1,0,0,0,0,0,30700,"324","MI-13",0,1
"305","Trudy Busch Valentine",1,"Missouri","MO","Senator","0",0,1,0,0,0,0,0,0,0,4210218,"325","MO-0",0,0
"306","Cori Bush",1,"Missouri","MO","Representative","1",0,0,1,0,0,0,0,1,0,578653,"326","MO-1",0,1
"307","Trish Gunby",1,"Missouri","MO","Representative","2",0,1,0,0,0,0,0,0,0,419546,"327","MO-2",0,0
"308","Bethany Mann",1,"Missouri","MO","Representative","3",0,1,0,0,0,0,0,0,0,3900,"328","MO-3",0,0
"309","Jack Truman",1,"Missouri","MO","Representative","4",1,1,0,0,0,0,0,0,0,0,"329","MO-4",0,0
"310","Emanuel Cleaver II",1,"Missouri","MO","Representative","5",1,0,1,0,0,0,0,1,0,99916,"330","MO-5",0,1
"311","Henry Martin",1,"Missouri","MO","Representative","6",1,0,1,0,0,0,0,0,0,43476,"331","MO-6",0,0
"312","Kristen Radaker-Sheafer",1,"Missouri","MO","Representative","7",0,1,0,0,0,0,0,0,0,2920,"332","MO-7",0,0
"313","Randi McCallian",1,"Missouri","MO","Representative","8",0,1,0,0,0,0,0,0,0,13592,"333","MO-8",0,0
"314","Patty Murray",1,"Washington","WA","Senator","0",0,1,0,0,0,0,0,1,0,4540293,"334","WA-0",0,1
"315","Suzan DelBene",1,"Washington","WA","Representative","1",0,1,0,0,0,0,0,1,0,460072,"335","WA-1",0,1
"316","Rick Larsen",1,"Washington","WA","Representative","2",1,1,0,0,0,0,0,1,0,288721,"336","WA-2",0,1
"317","Marie Gluesenkamp Perez",1,"Washington","WA","Representative","3",0,1,0,0,1,0,0,0,0,2394322,"337","WA-3",0,1
"318","Doug White",1,"Washington","WA","Representative","4",1,1,0,0,0,0,0,0,0,364423,"338","WA-4",0,0
"319","Natasha Hill",1,"Washington","WA","Representative","5",0,0,1,0,0,0,0,0,0,147171,"339","WA-5",0,0
"320","Derek Kilmer",1,"Washington","WA","Representative","6",1,1,0,0,0,0,0,1,0,505742,"340","WA-6",0,1
"321","Pramila Jayapal",1,"Washington","WA","Representative","7",0,0,0,1,0,0,0,1,0,648605,"341","WA-7",0,1
"322","Kim Schrier",1,"Washington","WA","Representative","8",0,1,0,0,0,0,0,1,0,3460010,"342","WA-8",0,1
"323","Adam Smith",1,"Washington","WA","Representative","9",1,1,0,0,0,0,0,1,0,232158,"343","WA-9",0,1
"324","Marilyn Strickland",1,"Washington","WA","Representative","10",0,0,1,0,0,0,0,1,0,470309,"344","WA-10",0,1
"325","Cameron Parsons",1,"Tennessee","TN","Representative","1",1,1,0,0,0,0,0,0,0,0,"345","TN-1",0,0
"326","Mark Harmon",1,"Tennessee","TN","Representative","2",1,1,0,0,0,0,0,0,0,24757,"346","TN-2",0,0
"327","Meg Gorman",1,"Tennessee","TN","Representative","3",0,1,0,0,0,0,0,0,0,30775,"347","TN-3",0,0
"328","Wayne Steele",1,"Tennessee","TN","Representative","4",1,1,0,0,0,0,0,0,0,3838,"348","TN-4",0,0
"329","Heidi Campbell",1,"Tennessee","TN","Representative","5",0,1,0,0,0,0,0,0,0,597016,"349","TN-5",0,0
"330","Randal Cooper",1,"Tennessee","TN","Representative","6",1,1,0,0,0,0,0,0,0,0,"350","TN-6",0,0
"331","Odessa Kelly",1,"Tennessee","TN","Representative","7",0,0,1,0,0,0,0,0,0,312409,"351","TN-7",0,0
"332","Lynnette P. Williams",1,"Tennessee","TN","Representative","8",0,0,1,0,0,0,0,0,0,375,"352","TN-8",0,0
"333","Steve Cohen",1,"Tennessee","TN","Representative","9",1,1,0,0,0,0,0,1,0,36800,"353","TN-9",0,1
"334","Richard Blumenthal",1,"Connecticut","CT","Senator","0",1,1,0,0,0,0,0,1,0,1113278,"354","CT-0",0,1
"335","John B. Larson",1,"Connecticut","CT","Representative","1",1,1,0,0,0,0,0,1,0,354564,"355","CT-1",0,1
"336","Joe Courtney",1,"Connecticut","CT","Representative","2",1,1,0,0,0,0,0,1,0,387539,"356","CT-2",0,1
"337","Rosa L. DeLauro",1,"Connecticut","CT","Representative","3",0,1,0,0,0,0,0,1,0,621480,"357","CT-3",0,1
"338","Jim Himes",1,"Connecticut","CT","Representative","4",1,1,0,0,0,0,0,1,0,286015,"358","CT-4",0,1
"339","Jahana Hayes",1,"Connecticut","CT","Representative","5",0,0,1,0,0,0,0,1,0,780429,"359","CT-5",0,1
"340","Jeff Ettinger",1,"Minnesota","MN","Representative","1",1,1,0,0,0,0,0,0,0,447071,"360","MN-1",0,0
"341","Angie Craig",1,"Minnesota","MN","Representative","2",0,1,0,0,0,0,0,1,0,2195711,"361","MN-2",0,1
"342","Dean Phillips",1,"Minnesota","MN","Representative","3",1,1,0,0,0,0,0,1,0,914412,"362","MN-3",0,1
"343","Betty McCollum",1,"Minnesota","MN","Representative","4",0,1,0,0,0,0,0,1,0,401322,"363","MN-4",0,1
"344","Ilhan Omar",1,"Minnesota","MN","Representative","5",0,0,1,0,0,0,0,1,0,883752,"364","MN-5",0,1
"345","Jeanne Hendricks",1,"Minnesota","MN","Representative","6",0,1,0,0,0,0,0,0,0,53890,"365","MN-6",0,0
"346","Jill Abahsain",1,"Minnesota","MN","Representative","7",0,1,0,0,0,0,0,0,0,10521,"366","MN-7",0,0
"347","Jen Schultz",1,"Minnesota","MN","Representative","8",0,1,0,0,0,0,0,0,0,274830,"367","MN-8",0,0
"348","Peter Welch",1,"Vermont","VT","Senator","0",1,1,0,0,0,0,0,0,0,477924,"368","VT-0",0,1
"349","Becca Balint",1,"Vermont","VT","Representative","0",0,1,0,0,0,0,0,0,0,400722,"369","VT-0",0,1
"350","Mandela Barnes",1,"Wisconsin","WI","Senator","0",1,0,1,0,0,0,0,0,0,20015109,"370","WI-0",0,0
"351","Ann Roe",1,"Wisconsin","WI","Representative","1",0,1,0,0,0,0,0,0,0,355947,"371","WI-1",0,0
"352","Mark Pocan",1,"Wisconsin","WI","Representative","2",1,1,0,0,0,0,0,1,0,153657,"372","WI-2",0,1
"353","Brad Pfaff",1,"Wisconsin","WI","Representative","3",1,1,0,0,0,0,0,0,0,887654,"373","WI-3",0,0
"354","Gwen Moore",1,"Wisconsin","WI","Representative","4",0,0,1,0,0,0,0,1,0,110523,"374","WI-4",0,1
"355","Mike Van Someren",1,"Wisconsin","WI","Representative","5",1,1,0,0,0,0,0,0,0,32616,"375","WI-5",0,0
"356","Richard ""Dick"" Ausman",1,"Wisconsin","WI","Representative","7",1,1,0,0,0,0,0,0,0,30625,"376","WI-7",0,0
"357","Brian Schatz",1,"Hawaii","HI","Senator","0",1,1,0,0,0,0,0,1,0,447139,"377","HI-0",0,1
"358","Ed Case",1,"Hawaii","HI","Representative","1",1,1,0,0,0,0,0,1,0,409232,"378","HI-1",0,1
"359","Jill N. Tokuda",1,"Hawaii","HI","Representative","2",0,0,0,1,0,0,0,0,0,399722,"379","HI-2",0,1
"360","Mary S. Peltola",1,"Alaska","AK","Representative","0",0,0,0,0,0,0,1,0,0,3722044,"381","AK-0",0,1
"361","Lynnette GreyBull",1,"Wyoming","WY","Representative","0",0,0,0,0,0,0,1,0,0,22600,"382","WY-0",0,0
"362","Val Demings",1,"Florida","FL","Senator","0",0,0,1,0,0,0,0,0,0,24688761,"383","FL-0",0,0
"363","Rebekah Jones",1,"Florida","FL","Representative","1",0,1,0,0,0,0,0,0,0,277244,"384","FL-1",0,0
"364","Al Lawson",1,"Florida","FL","Representative","2",1,0,1,0,0,0,0,1,0,165345,"386","FL-2",0,0
"365","Danielle Hawk",1,"Florida","FL","Representative","3",0,1,0,0,0,0,0,0,0,24122,"387","FL-3",0,0
"366","LaShonda ""L.J."" Holloway",1,"Florida","FL","Representative","4",0,0,1,0,0,0,0,0,0,1300,"388","FL-4",0,0
"367","Karen Green",1,"Florida","FL","Representative","7",0,0,1,0,0,0,0,0,0,29630,"389","FL-7",0,0
"368","Joanne Terry",1,"Florida","FL","Representative","8",0,1,0,0,0,0,0,0,0,31518,"390","FL-8",0,0
"369","Darren Soto",1,"Florida","FL","Representative","9",1,0,0,0,1,0,0,1,0,204202,"391","FL-9",0,1
"370","Maxwell Alejandro Frost",1,"Florida","FL","Representative","10",1,0,1,0,1,0,0,0,0,857387,"392","FL-10",0,1
"371","Shante Munns",1,"Florida","FL","Representative","11",0,0,1,0,0,0,0,0,0,1920,"393","FL-11",0,0
"372","Kimberly Walker",1,"Florida","FL","Representative","12",0,0,1,0,0,0,0,0,0,3522,"394","FL-12",0,0
"373","Eric Lynn",1,"Florida","FL","Representative","13",1,1,0,0,0,0,0,0,0,1033314,"395","FL-13",0,0
"374","Kathy Castor",1,"Florida","FL","Representative","14",0,1,0,0,0,0,0,1,0,303373,"396","FL-14",0,1
"375","Alan M. Cohn",1,"Florida","FL","Representative","15",1,1,0,0,0,0,0,0,0,651068,"397","FL-15",0,0
"376","Jan Schneider",1,"Florida","FL","Representative","16",0,1,0,0,0,0,0,0,0,1517,"398","FL-16",0,0
"377","Andrea Doria Kale",1,"Florida","FL","Representative","17",0,1,0,0,0,0,0,0,0,4210,"399","FL-17",0,0
"378","Cindy Banyai",1,"Florida","FL","Representative","19",0,1,0,0,0,0,0,0,0,18725,"400","FL-19",0,0
"379","Sheila Cherfilus-McCormick",1,"Florida","FL","Representative","20",0,0,1,0,0,0,0,1,0,161181,"401","FL-20",0,1
"380","Corinna Balderramos Robinson",1,"Florida","FL","Representative","21",0,1,0,0,1,0,0,0,0,41470,"402","FL-21",0,0
"381","Lois Frankel",1,"Florida","FL","Representative","22",0,1,0,0,0,0,0,1,0,247757,"403","FL-22",0,1
"382","Jared Moskowitz",1,"Florida","FL","Representative","23",1,1,0,0,0,0,0,0,0,358291,"404","FL-23",0,1
"383","Frederica Wilson",1,"Florida","FL","Representative","24",0,0,1,0,0,0,0,1,0,77521,"405","FL-24",0,1
"384","Debbie Wasserman Schultz",1,"Florida","FL","Representative","25",0,1,0,0,0,0,0,1,0,592607,"406","FL-25",0,1
"385","Christine Alexandria Olivo",1,"Florida","FL","Representative","26",0,0,1,0,0,0,0,0,0,57416,"407","FL-26",0,0
"386","Annette Taddeo",1,"Florida","FL","Representative","27",0,0,0,0,1,0,0,0,0,1334976,"408","FL-27",0,0
"387","Robert Asencio",1,"Florida","FL","Representative","28",1,0,0,0,1,0,0,0,0,65282,"409","FL-28",0,0
"388","Bridget Fleming",1,"New York","NY","Representative","1",0,1,0,0,0,0,0,0,0,1461001,"410","NY-1",0,0
"389","Jackie Gordon",1,"New York","NY","Representative","2",0,0,1,0,0,0,0,0,0,619891,"411","NY-2",0,0
"390","Robert P. Zimmerman",1,"New York","NY","Representative","3",1,1,0,0,0,0,0,0,0,1318265,"412","NY-3",0,0
"391","Laura A. Gillen",1,"New York","NY","Representative","4",0,1,0,0,0,0,0,0,0,743227,"413","NY-4",0,0
"392","Gregory Meeks",1,"New York","NY","Representative","5",1,0,1,0,0,0,0,1,0,359153,"414","NY-5",0,1
"393","Grace Meng",1,"New York","NY","Representative","6",0,0,0,1,0,0,0,1,0,361106,"415","NY-6",0,1
"394","Nydia M. Velazquez",1,"New York","NY","Representative","7",0,0,0,0,1,0,0,1,0,29916,"416","NY-7",0,1
"395","Hakeem S. Jeffries",1,"New York","NY","Representative","8",1,0,1,0,0,0,0,1,0,1212373,"417","NY-8",0,1
"396","Daniel Goldman",1,"New York","NY","Representative","10",1,1,0,0,0,0,0,0,0,1570584,"419","NY-10",0,1
"397","Max N. Rose",1,"New York","NY","Representative","11",1,1,0,0,0,0,0,0,0,1162712,"420","NY-11",0,0
"398","Jerrold L. Nadler",1,"New York","NY","Representative","12",1,1,0,0,0,0,0,1,0,976680,"421","NY-12",0,1
"399","Alexandria Ocasio-Cortez",1,"New York","NY","Representative","14",0,0,0,0,1,0,0,1,0,1707783,"423","NY-14",0,1
"400","Ritchie J. Torres",1,"New York","NY","Representative","15",1,0,1,0,1,0,0,1,0,1515360,"424","NY-15",0,1
"401","Jamaal Bowman",1,"New York","NY","Representative","16",1,0,1,0,0,0,0,1,0,455122,"425","NY-16",0,1
"402","Sean Patrick Maloney",1,"New York","NY","Representative","17",1,1,0,0,0,0,0,1,0,1967612,"426","NY-17",0,0
"403","Pat Ryan",1,"New York","NY","Representative","18",1,1,0,0,0,0,0,0,0,2757923,"427","NY-18",0,1
"404","Josh Riley",1,"New York","NY","Representative","19",1,1,0,0,0,0,0,0,0,2095138,"428","NY-19",0,0
"405","Paul D. Tonko",1,"New York","NY","Representative","20",1,1,0,0,0,0,0,1,0,283445,"429","NY-20",0,1
"406","Matt Castelli",1,"New York","NY","Representative","21",1,1,0,0,0,0,0,0,0,1151520,"430","NY-21",0,0
"407","Francis Conole",1,"New York","NY","Representative","22",1,1,0,0,0,0,0,0,0,1486214,"431","NY-22",0,0
"408","Max H. Della Pia",1,"New York","NY","Representative","23",1,1,0,0,0,0,0,0,0,114990,"432","NY-23",0,0
"409","Steven Holden",1,"New York","NY","Representative","24",1,1,0,0,0,0,0,0,0,43043,"433","NY-24",0,0
"410","Joseph D. Morelle",1,"New York","NY","Representative","25",1,1,0,0,0,0,0,1,0,556186,"434","NY-25",0,1
"411","Brian Higgins",1,"New York","NY","Representative","26",1,1,0,0,0,0,0,1,0,260698,"435","NY-26",0,1
"412","Richard E. Neal",1,"Massachusetts","MA","Representative","1",1,1,0,0,0,0,0,1,0,425407,"436","MA-1",0,1
"413","James P. McGovern",1,"Massachusetts","MA","Representative","2",1,1,0,0,0,0,0,1,0,307952,"437","MA-2",0,1
"414","Lori Loureiro Trahan",1,"Massachusetts","MA","Representative","3",0,1,0,0,0,0,0,1,0,547740,"438","MA-3",0,1
"415","Katherine M. Clark",1,"Massachusetts","MA","Representative","5",0,1,0,0,0,0,0,1,0,356024,"440","MA-5",0,1
"416","Seth Moulton",1,"Massachusetts","MA","Representative","6",1,1,0,0,0,0,0,1,0,333399,"441","MA-6",0,1
"417","Ayanna S. Pressley",1,"Massachusetts","MA","Representative","7",0,0,1,0,0,0,0,1,0,319561,"442","MA-7",0,1
"418","Stephen F. Lynch",1,"Massachusetts","MA","Representative","8",1,1,0,0,0,0,0,1,0,316855,"443","MA-8",0,1
"419","Bill Keating",1,"Massachusetts","MA","Representative","9",1,1,0,0,0,0,0,1,0,159383,"444","MA-9",0,1
"420","Lisa Blunt Rochester",1,"Delaware","DE","Representative","0",0,0,1,0,0,0,0,1,0,608714,"445","DE-0",0,1
"421","Maggie Hassan",1,"New Hampshire","NH","Senator","0",0,1,0,0,0,0,0,1,0,12184882,"446","NH-0",0,1
"422","Chris Pappas",1,"New Hampshire","NH","Representative","1",1,1,0,0,0,0,0,1,0,1743249,"447","NH-1",0,1
"423","Ann McLane Kuster",1,"New Hampshire","NH","Representative","2",0,1,0,0,0,0,0,1,0,1267419,"448","NH-2",0,1
"424","David N. Cicilline",1,"Rhode Island","RI","Representative","1",1,1,0,0,0,0,0,1,0,419463,"449","RI-1",0,1
"425","Seth M. Magaziner",1,"Rhode Island","RI","Representative","2",1,1,0,0,0,0,0,0,0,1155719,"450","RI-2",0,1
"426","Nathaniel Moran",0,"Texas","TX","Representative","1",1,1,0,0,0,0,0,0,0,78080,"451","TX-1",0,1
