"","interest_over_time.date","interest_over_time.hits","interest_over_time.keyword","interest_over_time.geo","interest_over_time.time","interest_over_time.gprop","interest_over_time.category"
"84",2022-09-04,21,"Crime","US","2022-01-01 2022-12-01","web",0
"85",2022-09-11,20,"Crime","US","2022-01-01 2022-12-01","web",0
"86",2022-09-18,22,"Crime","US","2022-01-01 2022-12-01","web",0
"87",2022-09-25,24,"Crime","US","2022-01-01 2022-12-01","web",0
"88",2022-10-02,24,"Crime","US","2022-01-01 2022-12-01","web",0
"89",2022-10-09,23,"Crime","US","2022-01-01 2022-12-01","web",0
"90",2022-10-16,23,"Crime","US","2022-01-01 2022-12-01","web",0
"91",2022-10-23,22,"Crime","US","2022-01-01 2022-12-01","web",0
"92",2022-10-30,21,"Crime","US","2022-01-01 2022-12-01","web",0
"93",2022-11-06,19,"Crime","US","2022-01-01 2022-12-01","web",0
"94",2022-11-13,19,"Crime","US","2022-01-01 2022-12-01","web",0
"95",2022-11-20,17,"Crime","US","2022-01-01 2022-12-01","web",0
"96",2022-11-27,19,"Crime","US","2022-01-01 2022-12-01","web",0
"97",2022-01-02,6,"Inflation","US","2022-01-01 2022-12-01","web",0
"98",2022-01-09,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"99",2022-01-16,6,"Inflation","US","2022-01-01 2022-12-01","web",0
"100",2022-01-23,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"101",2022-01-30,6,"Inflation","US","2022-01-01 2022-12-01","web",0
"102",2022-02-06,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"103",2022-02-13,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"104",2022-02-20,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"105",2022-02-27,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"106",2022-03-06,12,"Inflation","US","2022-01-01 2022-12-01","web",0
"107",2022-03-13,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"108",2022-03-20,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"109",2022-03-27,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"110",2022-04-03,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"111",2022-04-10,13,"Inflation","US","2022-01-01 2022-12-01","web",0
"112",2022-04-17,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"113",2022-04-24,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"114",2022-05-01,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"115",2022-05-08,14,"Inflation","US","2022-01-01 2022-12-01","web",0
"116",2022-05-15,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"117",2022-05-22,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"118",2022-05-29,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"119",2022-06-05,14,"Inflation","US","2022-01-01 2022-12-01","web",0
"120",2022-06-12,15,"Inflation","US","2022-01-01 2022-12-01","web",0
"121",2022-06-19,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"122",2022-06-26,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"123",2022-07-03,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"124",2022-07-10,14,"Inflation","US","2022-01-01 2022-12-01","web",0
"125",2022-07-17,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"126",2022-07-24,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"127",2022-07-31,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"128",2022-08-07,21,"Inflation","US","2022-01-01 2022-12-01","web",0
"129",2022-08-14,15,"Inflation","US","2022-01-01 2022-12-01","web",0
"130",2022-08-21,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"131",2022-08-28,8,"Inflation","US","2022-01-01 2022-12-01","web",0
"132",2022-09-04,7,"Inflation","US","2022-01-01 2022-12-01","web",0
"133",2022-09-11,13,"Inflation","US","2022-01-01 2022-12-01","web",0
"134",2022-09-18,11,"Inflation","US","2022-01-01 2022-12-01","web",0
"135",2022-09-25,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"136",2022-10-02,12,"Inflation","US","2022-01-01 2022-12-01","web",0
"137",2022-10-09,13,"Inflation","US","2022-01-01 2022-12-01","web",0
"138",2022-10-16,11,"Inflation","US","2022-01-01 2022-12-01","web",0
"139",2022-10-23,10,"Inflation","US","2022-01-01 2022-12-01","web",0
"140",2022-10-30,11,"Inflation","US","2022-01-01 2022-12-01","web",0
"141",2022-11-06,11,"Inflation","US","2022-01-01 2022-12-01","web",0
"142",2022-11-13,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"143",2022-11-20,6,"Inflation","US","2022-01-01 2022-12-01","web",0
"144",2022-11-27,9,"Inflation","US","2022-01-01 2022-12-01","web",0
"145",2022-01-02,4,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"146",2022-01-09,4,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"147",2022-01-16,4,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"148",2022-01-23,4,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"149",2022-01-30,5,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"150",2022-02-06,6,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"151",2022-02-13,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"152",2022-02-20,17,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"153",2022-02-27,29,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"154",2022-03-06,88,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"155",2022-03-13,29,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"156",2022-03-20,18,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"157",2022-03-27,12,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"158",2022-04-03,9,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"159",2022-04-10,9,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"160",2022-04-17,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"161",2022-04-24,8,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"162",2022-05-01,9,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"163",2022-05-08,16,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"164",2022-05-15,23,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"165",2022-05-22,18,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"166",2022-05-29,25,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"167",2022-06-05,37,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"168",2022-06-12,24,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"169",2022-06-19,18,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"170",2022-06-26,16,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"171",2022-07-03,15,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"172",2022-07-10,14,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"173",2022-07-17,13,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"174",2022-07-24,11,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"175",2022-07-31,10,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"176",2022-08-07,10,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"177",2022-08-14,8,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"178",2022-08-21,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"179",2022-08-28,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"180",2022-09-04,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"181",2022-09-11,6,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"182",2022-09-18,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"183",2022-09-25,10,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"184",2022-10-02,12,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"185",2022-10-09,9,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"186",2022-10-16,7,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"187",2022-10-23,6,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"188",2022-10-30,6,"Gas Prices","US","2022-01-01 2022-12-01","web",0
"189",2022-11-06,5,"Gas Prices","US","2022-01-01 2022-12-01","web",0
