"","Candidate","Last_name","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num"
"254","Ike McCorkle","MCCORKLE",1,"Colorado","CO","Representative","4",1,1,0,0,0,0,0,0,0
"255","David Torres","TORRES",1,"Colorado","CO","Representative","5",1,0,0,0,1,0,0,0,0
"256","Jason Crow","CROW",1,"Colorado","CO","Representative","6",1,1,0,0,0,0,0,1,0
"257","Brittany Pettersen","PETTERSEN",1,"Colorado","CO","Representative","7",0,1,0,0,0,0,0,0,0
"258","Yadira Caraveo","CARAVEO",1,"Colorado","CO","Representative","8",0,0,0,0,1,0,0,0,0
"259","Tammy Duckworth","DUCKWORTH",1,"Illinois","IL","Senator","0",0,1,0,1,0,0,0,1,0
"260","Jonathan L. Jackson","JACKSON",1,"Illinois","IL","Representative","1",1,0,1,0,0,0,0,0,0
"261","Robin Kelly","KELLY",1,"Illinois","IL","Representative","2",0,0,1,0,0,0,0,1,0
"262","Delia Ramirez","RAMIREZ",1,"Illinois","IL","Representative","3",0,0,0,0,1,0,0,0,0
"263","Jesus ""Chuy"" Garcia","GARCIA",1,"Illinois","IL","Representative","4",1,0,0,0,1,0,0,1,0
"264","Mike Quigley","QUIGLEY",1,"Illinois","IL","Representative","5",1,1,0,0,0,0,0,1,0
"265","Sean Casten","CASTEN",1,"Illinois","IL","Representative","6",1,1,0,0,0,0,0,1,0
"266","Danny K. Davis","DAVIS",1,"Illinois","IL","Representative","7",1,0,1,0,0,0,0,1,0
"267","Raja Krishnamoorthi","KRISHNAMOORTHI",1,"Illinois","IL","Representative","8",1,0,0,1,0,0,0,1,0
"268","Janice D. Schakowsky","SCHAKOWSKY",1,"Illinois","IL","Representative","9",0,1,0,0,0,0,0,1,0
"269","Brad Schneider","SCHNEIDER",1,"Illinois","IL","Representative","10",1,1,0,0,0,0,0,1,0
"270","Bill Foster","FOSTER",1,"Illinois","IL","Representative","11",1,1,0,0,0,0,0,1,0
"271","Homer ""Chip"" Markel","MARKEL",1,"Illinois","IL","Representative","12",1,1,0,0,0,0,0,0,0
"272","Nikki Budzinski","BUDZINSKI",1,"Illinois","IL","Representative","13",0,1,0,0,0,0,0,0,0
"273","Lauren Underwood","UNDERWOOD",1,"Illinois","IL","Representative","14",0,0,1,0,0,0,0,1,0
"274","Paul J. Lange","LANGE",1,"Illinois","IL","Representative","15",1,1,0,0,0,0,0,0,0
"275","Eric Sorensen","SORENSEN",1,"Illinois","IL","Representative","17",1,1,0,0,0,0,0,0,0
"276","Charles E. Schumer","SCHUMER",1,"New York","NY","Senator","0",1,1,0,0,0,0,0,1,0
"277","Madison Horn","HORN",1,"Oklahoma","OK","Senator","0",0,1,0,0,0,0,1,0,0
"278","Kendra Horn","HORN",1,"Oklahoma","OK","Senator","0",0,1,0,0,0,0,0,0,0
"279","Adam Martin","MARTIN",1,"Oklahoma","OK","Representative","1",1,0,1,0,0,0,0,0,0
"280","Naomi Andrews","ANDREWS",1,"Oklahoma","OK","Representative","2",0,1,0,0,0,0,0,0,0
"281","Jeremiah A. Ross","ROSS",1,"Oklahoma","OK","Representative","3",1,1,0,0,0,0,0,0,0
"282","Mary Brannon","BRANNON",1,"Oklahoma","OK","Representative","4",0,1,0,0,0,0,0,0,0
"283","Joshua Harris-Till","TILL",1,"Oklahoma","OK","Representative","5",1,0,1,0,0,0,0,0,0
"284","Rick Edwin Jones","JONES",1,"Utah","UT","Representative","1",1,1,0,0,0,0,0,0,0
"285","Nick Mitchell","MITCHELL",1,"Utah","UT","Representative","2",1,0,1,0,0,0,0,0,0
"286","Glenn J. Wright","WRIGHT",1,"Utah","UT","Representative","3",1,1,0,0,0,0,0,0,0
"287","Darlene McDonald","MCDONALD",1,"Utah","UT","Representative","4",0,0,1,0,0,0,0,0,0
"288","Chris Van Hollen","HOLLEN",1,"Maryland","MD","Senator","0",1,1,0,0,0,0,0,1,0
"289","Heather R. Mizeur","MIZEUR",1,"Maryland","MD","Representative","1",0,1,0,0,0,0,0,0,0
"290","C.A. Dutch Ruppersberger","RUPPERSBERGER",1,"Maryland","MD","Representative","2",1,1,0,0,0,0,0,1,0
"291","John Sarbanes","SARBANES",1,"Maryland","MD","Representative","3",1,1,0,0,0,0,0,1,0
"292","Glenn F. Ivey","IVEY",1,"Maryland","MD","Representative","4",1,0,1,0,0,0,0,0,0
"293","Steny Hoyer","HOYER",1,"Maryland","MD","Representative","5",1,1,0,0,0,0,0,1,0
"294","David J. Trone","TRONE",1,"Maryland","MD","Representative","6",1,1,0,0,0,0,0,1,0
"295","Kweisi Mfume","MFUME",1,"Maryland","MD","Representative","7",1,0,1,0,0,0,0,1,0
"296","Jamie Raskin","RASKIN",1,"Maryland","MD","Representative","8",1,1,0,0,0,0,0,1,0
"297","Mark Kelly","KELLY",1,"Arizona","AZ","Senator","0",1,1,0,0,0,0,0,1,0
"298","Jevin D. Hodge","HODGE",1,"Arizona","AZ","Representative","1",1,0,1,0,0,0,0,0,0
"299","Tom O'Halleran","OHALLERAN",1,"Arizona","AZ","Representative","2",1,1,0,0,0,0,0,1,0
"300","Ruben Gallego","GALLEGO",1,"Arizona","AZ","Representative","3",1,0,0,0,1,0,0,1,0
"301","Greg Stanton","STANTON",1,"Arizona","AZ","Representative","4",1,1,0,0,0,0,0,1,0
"302","Javier Garcia Ramos","RAMOS",1,"Arizona","AZ","Representative","5",1,0,0,0,1,0,0,0,0
"303","Kirsten Engel","ENGEL",1,"Arizona","AZ","Representative","6",0,1,0,0,0,0,0,0,0
"304","Raúl Grijalva","GRIJALVA",1,"Arizona","AZ","Representative","7",1,0,0,0,1,0,0,1,0
"305","Mark R. Holland","HOLLAND",1,"Kansas","KS","Senator","0",1,1,0,0,0,0,0,0,0
"306","James ""Jimmy"" Beard","BEARD",1,"Kansas","KS","Representative","1",1,1,0,0,0,0,0,0,0
"307","Patrick Schmidt","SCHMIDT",1,"Kansas","KS","Representative","2",1,1,0,0,0,0,0,0,0
"308","Sharice Davids","DAVIDS",1,"Kansas","KS","Representative","3",0,0,0,0,0,0,1,1,0
"309","Bob Hernandez","HERNANDEZ",1,"Kansas","KS","Representative","4",1,0,0,0,1,0,0,0,0
"310","Bob Lorinser","LORINSER",1,"Michigan","MI","Representative","1",1,1,0,0,0,0,0,0,0
"311","Jerry Hilliard","HILLIARD",1,"Michigan","MI","Representative","2",1,1,0,0,0,0,0,0,0
"312","Hillary Scholten","SCHOLTEN",1,"Michigan","MI","Representative","3",0,1,0,0,0,0,0,0,0
"313","Bart Goldberg","GOLDBERG",1,"Michigan","MI","Representative","5",1,1,0,0,0,0,0,0,0
"314","Debbie Dingell","DINGELL",1,"Michigan","MI","Representative","6",0,1,0,0,0,0,0,1,0
"315","Elissa Slotkin","SLOTKIN",1,"Michigan","MI","Representative","7",0,1,0,0,0,0,0,1,0
"316","Daniel T. Kildee","KILDEE",1,"Michigan","MI","Representative","8",1,1,0,0,0,0,0,1,0
"317","Brian Jaye","JAYE",1,"Michigan","MI","Representative","9",1,1,0,0,0,0,0,0,0
"318","Carl J. Marlinga","MARLINGA",1,"Michigan","MI","Representative","10",1,1,0,0,0,0,0,0,0
"319","Haley Stevens","STEVENS",1,"Michigan","MI","Representative","11",0,1,0,0,0,0,0,1,0
"320","Rashida Tlaib","TLAIB",1,"Michigan","MI","Representative","12",0,0,0,0,0,1,0,1,0
"321","Shri Thanedar","THANEDAR",1,"Michigan","MI","Representative","13",1,0,0,1,0,0,0,0,0
"322","Trudy Busch Valentine","VALENTINE",1,"Missouri","MO","Senator","0",0,1,0,0,0,0,0,0,0
"323","Cori Bush","BUSH",1,"Missouri","MO","Representative","1",0,0,1,0,0,0,0,1,0
"324","Trish Gunby","GUNBY",1,"Missouri","MO","Representative","2",0,1,0,0,0,0,0,0,0
"325","Bethany Mann","MANN",1,"Missouri","MO","Representative","3",0,1,0,0,0,0,0,0,0
"326","Jack Truman","TRUMAN",1,"Missouri","MO","Representative","4",1,1,0,0,0,0,0,0,0
"327","Emanuel Cleaver II","CLEAVER",1,"Missouri","MO","Representative","5",1,0,1,0,0,0,0,1,0
"328","Henry Martin","MARTIN",1,"Missouri","MO","Representative","6",1,0,1,0,0,0,0,0,0
"329","Kristen Radaker-Sheafer","SHEAFER",1,"Missouri","MO","Representative","7",0,1,0,0,0,0,0,0,0
"330","Randi McCallian","MCCALLIAN",1,"Missouri","MO","Representative","8",0,1,0,0,0,0,0,0,0
"331","Patty Murray","MURRAY",1,"Washington","WA","Senator","0",0,1,0,0,0,0,0,1,0
"332","Suzan DelBene","DELBENE",1,"Washington","WA","Representative","1",0,1,0,0,0,0,0,1,0
"333","Rick Larsen","LARSEN",1,"Washington","WA","Representative","2",1,1,0,0,0,0,0,1,0
"334","Marie Gluesenkamp Perez","PEREZ",1,"Washington","WA","Representative","3",0,1,0,0,1,0,0,0,0
"335","Doug White","WHITE",1,"Washington","WA","Representative","4",1,1,0,0,0,0,0,0,0
"336","Natasha Hill","HILL",1,"Washington","WA","Representative","5",0,0,1,0,0,0,0,0,0
"337","Derek Kilmer","KILMER",1,"Washington","WA","Representative","6",1,1,0,0,0,0,0,1,0
"338","Pramila Jayapal","JAYAPAL",1,"Washington","WA","Representative","7",0,0,0,1,0,0,0,1,0
"339","Kim Schrier","SCHRIER",1,"Washington","WA","Representative","8",0,1,0,0,0,0,0,1,0
"340","Adam Smith","SMITH",1,"Washington","WA","Representative","9",1,1,0,0,0,0,0,1,0
"341","Marilyn Strickland","STRICKLAND",1,"Washington","WA","Representative","10",0,0,1,0,0,0,0,1,0
"342","Cameron Parsons","PARSONS",1,"Tennessee","TN","Representative","1",1,1,0,0,0,0,0,0,0
"343","Mark Harmon","HARMON",1,"Tennessee","TN","Representative","2",1,1,0,0,0,0,0,0,0
"344","Meg Gorman","GORMAN",1,"Tennessee","TN","Representative","3",0,1,0,0,0,0,0,0,0
"345","Wayne Steele","STEELE",1,"Tennessee","TN","Representative","4",1,1,0,0,0,0,0,0,0
"346","Heidi Campbell","CAMPBELL",1,"Tennessee","TN","Representative","5",0,1,0,0,0,0,0,0,0
"347","Randal Cooper","COOPER",1,"Tennessee","TN","Representative","6",1,1,0,0,0,0,0,0,0
"348","Odessa Kelly","KELLY",1,"Tennessee","TN","Representative","7",0,0,1,0,0,0,0,0,0
"349","Lynnette P. Williams","WILLIAMS",1,"Tennessee","TN","Representative","8",0,0,1,0,0,0,0,0,0
"350","Steve Cohen","COHEN",1,"Tennessee","TN","Representative","9",1,1,0,0,0,0,0,1,0
"351","Richard Blumenthal","BLUMENTHAL",1,"Connecticut","CT","Senator","0",1,1,0,0,0,0,0,1,0
"352","John B. Larson","LARSON",1,"Connecticut","CT","Representative","1",1,1,0,0,0,0,0,1,0
"353","Joe Courtney","COURTNEY",1,"Connecticut","CT","Representative","2",1,1,0,0,0,0,0,1,0
"354","Rosa L. DeLauro","DELAURO",1,"Connecticut","CT","Representative","3",0,1,0,0,0,0,0,1,0
"355","Jim Himes","HIMES",1,"Connecticut","CT","Representative","4",1,1,0,0,0,0,0,1,0
"356","Jahana Hayes","HAYES",1,"Connecticut","CT","Representative","5",0,0,1,0,0,0,0,1,0
"357","Jeff Ettinger","ETTINGER",1,"Minnesota","MN","Representative","1",1,1,0,0,0,0,0,0,0
"358","Angie Craig","CRAIG",1,"Minnesota","MN","Representative","2",0,1,0,0,0,0,0,1,0
"359","Dean Phillips","PHILLIPS",1,"Minnesota","MN","Representative","3",1,1,0,0,0,0,0,1,0
"360","Betty McCollum","MCCOLLUM",1,"Minnesota","MN","Representative","4",0,1,0,0,0,0,0,1,0
"361","Ilhan Omar","OMAR",1,"Minnesota","MN","Representative","5",0,0,1,0,0,0,0,1,0
"362","Jeanne Hendricks","HENDRICKS",1,"Minnesota","MN","Representative","6",0,1,0,0,0,0,0,0,0
"363","Jill Abahsain","ABAHSAIN",1,"Minnesota","MN","Representative","7",0,1,0,0,0,0,0,0,0
"364","Jen Schultz","SCHULTZ",1,"Minnesota","MN","Representative","8",0,1,0,0,0,0,0,0,0
"365","Peter Welch","WELCH",1,"Vermont","VT","Senator","0",1,1,0,0,0,0,0,0,0
"366","Becca Balint","BALINT",1,"Vermont","VT","Representative","0",0,1,0,0,0,0,0,0,0
"367","Mandela Barnes","BARNES",1,"Wisconsin","WI","Senator","0",1,0,1,0,0,0,0,0,0
"368","Ann Roe","ROE",1,"Wisconsin","WI","Representative","1",0,1,0,0,0,0,0,0,0
"369","Mark Pocan","POCAN",1,"Wisconsin","WI","Representative","2",1,1,0,0,0,0,0,1,0
"370","Brad Pfaff","PFAFF",1,"Wisconsin","WI","Representative","3",1,1,0,0,0,0,0,0,0
"371","Gwen Moore","MOORE",1,"Wisconsin","WI","Representative","4",0,0,1,0,0,0,0,1,0
"372","Mike Van Someren","SOMEREN",1,"Wisconsin","WI","Representative","5",1,1,0,0,0,0,0,0,0
"373","Richard ""Dick"" Ausman","AUSMAN",1,"Wisconsin","WI","Representative","7",1,1,0,0,0,0,0,0,0
"374","Brian Schatz","SCHATZ",1,"Hawaii","HI","Senator","0",1,1,0,0,0,0,0,1,0
"375","Ed Case","CASE",1,"Hawaii","HI","Representative","1",1,1,0,0,0,0,0,1,0
"376","Jill N. Tokuda","TOKUDA",1,"Hawaii","HI","Representative","2",0,0,0,1,0,0,0,0,0
"377","Patricia R. Chesbro","CHESBRO",1,"Alaska","AK","Senator","0",0,1,0,0,0,0,0,0,0
"378","Mary S. Peltola","PELTOLA",1,"Alaska","AK","Representative","0",0,0,0,0,0,0,1,0,0
"379","Lynnette GreyBull","GREYBULL",1,"Wyoming","WY","Representative","0",0,0,0,0,0,0,1,0,0
"380","Val Demings","DEMINGS",1,"Florida","FL","Senator","0",0,0,1,0,0,0,0,0,0
"381","Rebekah Jones","JONES",1,"Florida","FL","Representative","1",0,1,0,0,0,0,0,0,0
"382","Al Lawson","LAWSON",1,"Florida","FL","Representative","2",1,0,1,0,0,0,0,1,0
"383","Danielle Hawk","HAWK",1,"Florida","FL","Representative","3",0,1,0,0,0,0,0,0,0
"384","LaShonda ""L.J."" Holloway","HOLLOWAY",1,"Florida","FL","Representative","4",0,0,1,0,0,0,0,0,0
"385","Karen Green","GREEN",1,"Florida","FL","Representative","7",0,0,1,0,0,0,0,0,0
"386","Joanne Terry","TERRY",1,"Florida","FL","Representative","8",0,1,0,0,0,0,0,0,0
"387","Darren Soto","SOTO",1,"Florida","FL","Representative","9",1,0,0,0,1,0,0,1,0
"388","Maxwell Alejandro Frost","FROST",1,"Florida","FL","Representative","10",1,0,1,0,1,0,0,0,0
"389","Shante Munns","MUNNS",1,"Florida","FL","Representative","11",0,0,1,0,0,0,0,0,0
"390","Kimberly Walker","WALKER",1,"Florida","FL","Representative","12",0,0,1,0,0,0,0,0,0
"391","Eric Lynn","LYNN",1,"Florida","FL","Representative","13",1,1,0,0,0,0,0,0,0
"392","Kathy Castor","CASTOR",1,"Florida","FL","Representative","14",0,1,0,0,0,0,0,1,0
"393","Alan M. Cohn","COHN",1,"Florida","FL","Representative","15",1,1,0,0,0,0,0,0,0
"394","Jan Schneider","SCHNEIDER",1,"Florida","FL","Representative","16",0,1,0,0,0,0,0,0,0
"395","Andrea Doria Kale","KALE",1,"Florida","FL","Representative","17",0,1,0,0,0,0,0,0,0
"396","Cindy Banyai","BANYAI",1,"Florida","FL","Representative","19",0,1,0,0,0,0,0,0,0
"397","Sheila Cherfilus-McCormick","MCCORMICK",1,"Florida","FL","Representative","20",0,0,1,0,0,0,0,1,0
"398","Corinna Balderramos Robinson","ROBINSON",1,"Florida","FL","Representative","21",0,1,0,0,1,0,0,0,0
"399","Lois Frankel","FRANKEL",1,"Florida","FL","Representative","22",0,1,0,0,0,0,0,1,0
"400","Jared Moskowitz","MOSKOWITZ",1,"Florida","FL","Representative","23",1,1,0,0,0,0,0,0,0
"401","Frederica Wilson","WILSON",1,"Florida","FL","Representative","24",0,0,1,0,0,0,0,1,0
"402","Debbie Wasserman Schultz","SCHULTZ",1,"Florida","FL","Representative","25",0,1,0,0,0,0,0,1,0
"403","Christine Alexandria Olivo","OLIVO",1,"Florida","FL","Representative","26",0,0,1,0,0,0,0,0,0
"404","Annette Taddeo","TADDEO",1,"Florida","FL","Representative","27",0,0,0,0,1,0,0,0,0
"405","Robert Asencio","ASENCIO",1,"Florida","FL","Representative","28",1,0,0,0,1,0,0,0,0
"406","Bridget Fleming","FLEMING",1,"New York","NY","Representative","1",0,1,0,0,0,0,0,0,0
"407","Jackie Gordon","GORDON",1,"New York","NY","Representative","2",0,0,1,0,0,0,0,0,0
"408","Robert P. Zimmerman","ZIMMERMAN",1,"New York","NY","Representative","3",1,1,0,0,0,0,0,0,0
"409","Laura A. Gillen","GILLEN",1,"New York","NY","Representative","4",0,1,0,0,0,0,0,0,0
"410","Gregory Meeks","MEEKS",1,"New York","NY","Representative","5",1,0,1,0,0,0,0,1,0
"411","Grace Meng","MENG",1,"New York","NY","Representative","6",0,0,0,1,0,0,0,1,0
"412","Nydia M. Velazquez","VELAZQUEZ",1,"New York","NY","Representative","7",0,0,0,0,1,0,0,1,0
"413","Hakeem S. Jeffries","JEFFRIES",1,"New York","NY","Representative","8",1,0,1,0,0,0,0,1,0
"414","Yvette Clarke","CLARKE",1,"New York","NY","Representative","9",0,0,1,0,0,0,0,1,0
"415","Daniel Goldman","GOLDMAN",1,"New York","NY","Representative","10",1,1,0,0,0,0,0,0,0
"416","Max N. Rose","ROSE",1,"New York","NY","Representative","11",1,1,0,0,0,0,0,0,0
"417","Jerrold L. Nadler","NADLER",1,"New York","NY","Representative","12",1,1,0,0,0,0,0,1,0
"418","Adriano Espaillat","ESPAILLAT",1,"New York","NY","Representative","13",1,0,0,0,1,0,0,1,0
"419","Alexandria Ocasio-Cortez","CORTEZ",1,"New York","NY","Representative","14",0,0,0,0,1,0,0,1,0
"420","Ritchie J. Torres","TORRES",1,"New York","NY","Representative","15",1,0,1,0,1,0,0,1,0
"421","Jamaal Bowman","BOWMAN",1,"New York","NY","Representative","16",1,0,1,0,0,0,0,1,0
"422","Sean Patrick Maloney","MALONEY",1,"New York","NY","Representative","17",1,1,0,0,0,0,0,1,0
"423","Pat Ryan","RYAN",1,"New York","NY","Representative","18",1,1,0,0,0,0,0,0,0
"424","Josh Riley","RILEY",1,"New York","NY","Representative","19",1,1,0,0,0,0,0,0,0
"425","Paul D. Tonko","TONKO",1,"New York","NY","Representative","20",1,1,0,0,0,0,0,1,0
"426","Matt Castelli","CASTELLI",1,"New York","NY","Representative","21",1,1,0,0,0,0,0,0,0
"427","Francis Conole","CONOLE",1,"New York","NY","Representative","22",1,1,0,0,0,0,0,0,0
"428","Max H. Della Pia","PIA",1,"New York","NY","Representative","23",1,1,0,0,0,0,0,0,0
"429","Steven Holden","HOLDEN",1,"New York","NY","Representative","24",1,1,0,0,0,0,0,0,0
"430","Joseph D. Morelle","MORELLE",1,"New York","NY","Representative","25",1,1,0,0,0,0,0,1,0
"431","Brian Higgins","HIGGINS",1,"New York","NY","Representative","26",1,1,0,0,0,0,0,1,0
"432","Richard E. Neal","NEAL",1,"Massachusetts","MA","Representative","1",1,1,0,0,0,0,0,1,0
"433","James P. McGovern","MCGOVERN",1,"Massachusetts","MA","Representative","2",1,1,0,0,0,0,0,1,0
"434","Lori Loureiro Trahan","TRAHAN",1,"Massachusetts","MA","Representative","3",0,1,0,0,0,0,0,1,0
"435","Jake Auchincloss","AUCHINCLOSS",1,"Massachusetts","MA","Representative","4",1,1,0,0,0,0,0,1,0
"436","Katherine M. Clark","CLARK",1,"Massachusetts","MA","Representative","5",0,1,0,0,0,0,0,1,0
"437","Seth Moulton","MOULTON",1,"Massachusetts","MA","Representative","6",1,1,0,0,0,0,0,1,0
"438","Ayanna S. Pressley","PRESSLEY",1,"Massachusetts","MA","Representative","7",0,0,1,0,0,0,0,1,0
"439","Stephen F. Lynch","LYNCH",1,"Massachusetts","MA","Representative","8",1,1,0,0,0,0,0,1,0
"440","Bill Keating","KEATING",1,"Massachusetts","MA","Representative","9",1,1,0,0,0,0,0,1,0
"441","Lisa Blunt Rochester","ROCHESTER",1,"Delaware","DE","Representative","0",0,0,1,0,0,0,0,1,0
"442","Maggie Hassan","HASSAN",1,"New Hampshire","NH","Senator","0",0,1,0,0,0,0,0,1,0
"443","Chris Pappas","PAPPAS",1,"New Hampshire","NH","Representative","1",1,1,0,0,0,0,0,1,0
"444","Ann McLane Kuster","KUSTER",1,"New Hampshire","NH","Representative","2",0,1,0,0,0,0,0,1,0
"445","David N. Cicilline","CICILLINE",1,"Rhode Island","RI","Representative","1",1,1,0,0,0,0,0,1,0
"446","Seth M. Magaziner","MAGAZINER",1,"Rhode Island","RI","Representative","2",1,1,0,0,0,0,0,0,0
"447","Nathaniel Moran","MORAN",0,"Texas","TX","Representative","1",1,1,0,0,0,0,0,0,0
"448","Dan Crenshaw","CRENSHAW",0,"Texas","TX","Representative","2",1,1,0,0,0,0,0,1,0
"449","Keith Self","SELF",0,"Texas","TX","Representative","3",1,1,0,0,0,0,0,0,1
"450","Pat Fallon","FALLON",0,"Texas","TX","Representative","4",1,1,0,0,0,0,0,1,1
"451","Lance Gooden","GOODEN",0,"Texas","TX","Representative","5",1,1,0,0,0,0,0,1,1
"452","Jake Ellzey","ELLZEY",0,"Texas","TX","Representative","6",1,1,0,0,0,0,0,1,0
"453","Johnny Teague","TEAGUE",0,"Texas","TX","Representative","7",1,1,0,0,0,0,0,0,0
"454","Morgan Luttrell","LUTTRELL",0,"Texas","TX","Representative","8",1,1,0,0,0,0,0,0,1
"455","Jimmy I. Leon","LEON",0,"Texas","TX","Representative","9",1,0,0,0,0,0,0,0,0
"456","Michael McCaul","MCCAUL",0,"Texas","TX","Representative","10",1,1,0,0,0,0,0,1,0
"457","August Pfluger","PFLUGER",0,"Texas","TX","Representative","11",1,1,0,0,0,0,0,1,1
"458","Kay Granger","GRANGER",0,"Texas","TX","Representative","12",0,1,0,0,0,0,0,1,0
"459","Ronny Jackson","JACKSON",0,"Texas","TX","Representative","13",1,1,0,0,0,0,0,1,1
"460","Randy Weber","WEBER",0,"Texas","TX","Representative","14",1,1,0,0,0,0,0,1,1
"461","Monica De La Cruz","CRUZ",0,"Texas","TX","Representative","15",0,0,0,0,1,0,0,0,1
"462","Irene Armendariz-Jackson","JACKSON",0,"Texas","TX","Representative","16",0,0,0,0,1,0,0,0,1
"463","Pete Sessions","SESSIONS",0,"Texas","TX","Representative","17",1,1,0,0,0,0,0,1,1
"464","Carmen Maria Montiel","MONTIEL",0,"Texas","TX","Representative","18",0,0,0,0,1,0,0,0,1
"465","Jodey C. Arrington","ARRINGTON",0,"Texas","TX","Representative","19",1,1,0,0,0,0,0,1,1
"466","Kyle Sinclair","SINCLAIR",0,"Texas","TX","Representative","20",1,1,0,0,0,0,0,0,0
"467","Chip Roy","ROY",0,"Texas","TX","Representative","21",1,1,0,0,0,0,0,1,0
"468","Troy E. Nehls","NEHLS",0,"Texas","TX","Representative","22",1,1,0,0,0,0,0,1,1
"469","Tony Gonzales","GONZALES",0,"Texas","TX","Representative","23",1,0,0,0,1,0,0,1,0
"470","Beth Van Duyne","DUYNE",0,"Texas","TX","Representative","24",0,1,0,0,0,0,0,1,1
"471","Roger Williams","WILLIAMS",0,"Texas","TX","Representative","25",1,1,0,0,0,0,0,1,1
"472","Michael C. Burgess","BURGESS",0,"Texas","TX","Representative","26",1,1,0,0,0,0,0,1,1
"473","Michael Cloud","CLOUD",0,"Texas","TX","Representative","27",1,1,0,0,0,0,0,1,1
"474","Cassy Garcia","GARCIA",0,"Texas","TX","Representative","28",0,0,0,0,1,0,0,0,0
"475","Robert Schafranek","SCHAFRANEK",0,"Texas","TX","Representative","29",1,1,0,0,0,0,0,0,0
"476","James Rodgers","RODGERS",0,"Texas","TX","Representative","30",1,1,0,0,0,0,0,0,0
"477","John Carter","CARTER",0,"Texas","TX","Representative","31",1,1,0,0,0,0,0,1,1
"478","Antonio Swad","SWAD",0,"Texas","TX","Representative","32",1,0,0,0,1,0,0,0,0
"479","Patrick David Gillespie","GILLESPIE",0,"Texas","TX","Representative","33",1,1,0,0,0,0,0,0,0
"480","Mayra Flores","FLORES",0,"Texas","TX","Representative","34",0,0,0,0,1,0,0,0,1
"481","Dan McQueen","MCQUEEN",0,"Texas","TX","Representative","35",1,1,0,0,0,0,0,0,0
"482","Brian Babin","BABIN",0,"Texas","TX","Representative","36",1,1,0,0,0,0,0,1,1
"483","Jenny Garcia Sharon","SHARON",0,"Texas","TX","Representative","37",0,1,0,0,0,0,0,0,1
"484","Wesley Hunt","HUNT",0,"Texas","TX","Representative","38",1,0,1,0,0,0,0,0,0
"485","Todd Young","YOUNG",0,"Indiana","IN","Senator","0",1,1,0,0,0,0,0,1,0
"486","Jennifer-Ruth Green","GREEN",0,"Indiana","IN","Representative","1",0,0,1,0,0,0,0,0,0
"487","Jackie Walorski","WALORSKI",0,"Indiana","IN","Representative","2",0,1,0,0,0,0,0,1,1
"488","Jim Banks","BANKS",0,"Indiana","IN","Representative","3",1,1,0,0,0,0,0,1,0
"489","Jim Baird","BAIRD",0,"Indiana","IN","Representative","4",1,1,0,0,0,0,0,1,1
"490","Victoria Spartz","SPARTZ",0,"Indiana","IN","Representative","5",0,1,0,0,0,0,0,1,0
"491","Greg Pence","PENCE",0,"Indiana","IN","Representative","6",1,1,0,0,0,0,0,1,1
"492","Angela Grabovsky","GRABOVSKY",0,"Indiana","IN","Representative","7",0,1,0,0,0,0,0,0,0
"493","Larry D. Bucshon","BUCSHON",0,"Indiana","IN","Representative","8",1,1,0,0,0,0,0,1,0
"494","Erin Houchin","HOUCHIN",0,"Indiana","IN","Representative","9",0,1,0,0,0,0,0,0,0
"495","J.D. Vance","VANCE",0,"Ohio","OH","Senator","0",1,1,0,0,0,0,0,0,1
"496","Steve Chabot","CHABOT",0,"Ohio","OH","Representative","1",1,1,0,0,0,0,0,1,1
"497","Brad Wenstrup","WENSTRUP",0,"Ohio","OH","Representative","2",1,1,0,0,0,0,0,1,0
"498","Lee R. Stahley","STAHLEY",0,"Ohio","OH","Representative","3",1,1,0,0,0,0,0,0,0
"499","Jim Jordan","JORDAN",0,"Ohio","OH","Representative","4",1,1,0,0,0,0,0,1,1
"500","Bob Latta","LATTA",0,"Ohio","OH","Representative","5",1,1,0,0,0,0,0,1,0
"501","Bill Johnson","JOHNSON",0,"Ohio","OH","Representative","6",1,1,0,0,0,0,0,1,1
"502","Max Miller","MILLER",0,"Ohio","OH","Representative","7",1,1,0,0,0,0,0,0,1
"503","Warren Davidson","DAVIDSON",0,"Ohio","OH","Representative","8",1,1,0,0,0,0,0,1,1
"504","J.R. Majewski","MAJEWSKI",0,"Ohio","OH","Representative","9",1,1,0,0,0,0,0,0,1
"505","Mike Turner","TURNER",0,"Ohio","OH","Representative","10",1,1,0,0,0,0,0,1,0
"506","Eric J. Brewer","BREWER",0,"Ohio","OH","Representative","11",1,0,1,0,0,0,0,0,0
"507","Troy Balderson","BALDERSON",0,"Ohio","OH","Representative","12",1,1,0,0,0,0,0,1,0
"508","Madison Gesiotto Gilbert","GILBERT",0,"Ohio","OH","Representative","13",0,1,0,0,0,0,0,0,0
"509","David P. Joyce","JOYCE",0,"Ohio","OH","Representative","14",1,1,0,0,0,0,0,1,0
"510","Mike Carey","CAREY",0,"Ohio","OH","Representative","15",1,1,0,0,0,0,0,1,0
"511","Jim Myles","MYLES",0,"Virginia","VA","Representative","11",1,1,0,0,0,0,0,0,0
"512","Carol Miller","MILLER",0,"West Virginia","WV","Representative","1",0,1,0,0,0,0,0,1,1
