TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR,SOURCE
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",145,Slovak,0,+/-254,0.0,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",146,Subsaharan African,"2,721","+/-1,121",0.1,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",147,Swedish,133,+/-236,0.0,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",148,Swiss,116,+/-191,0.0,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",149,Ukrainian,83,+/-138,0.0,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",150,Welsh,0,+/-254,0.0,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",151,West Indian (excluding Hispanic origin groups),"6,382","+/-1,737",0.2,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",151.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",151.5,COMPUTERS AND INTERNET USE,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",152,Total households,"1,165,982","+/-9,161","1,165,982",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",153,With a computer,"961,978","+/-10,717",82.5,+/-0.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",154,With a broadband Internet subscription,"892,035","+/-9,777",76.5,+/-0.6,"U.S. Census Bureau, 2021 American Community Survey"
