TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR,SOURCE
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",34,Separated,"32,756","+/-3,227",2.2,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",35,Widowed,"175,926","+/-6,239",11.7,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",36,Divorced,"241,631","+/-10,225",16.1,+/-0.7,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",36.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",36.5,FERTILITY,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"19,216","+/-2,544","19,216",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",38,"Unmarried women (widowed, divorced, and never married)","13,765","+/-2,034",71.6,+/-5.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",39,"Per 1,000 unmarried women",24,+/-4,(X),(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",40,"Per 1,000 women 15 to 50 years old",25,+/-3,(X),(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",41,"Per 1,000 women 15 to 19 years old",12,+/-7,(X),(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",42,"Per 1,000 women 20 to 34 years old",45,+/-7,(X),(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",43,"Per 1,000 women 35 to 50 years old",12,+/-4,(X),(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",43.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",43.5,GRANDPARENTS,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",44,Number of grandparents living with own grandchildren under 18 years,"65,665","+/-6,398","65,665",(X),
